,Chemical,Company,Room,Shelf,Amount of Jars/Containers,Amount,Unit,CAS #s,Hazard
,Iron (III) Sulfate Pentahydrate,Glass bottle,412D,7,1,300.0,g,142906-29-4,"Corrosive to metals, acute oral toxicity, skin corrosion/irritation, serious eye damage/irritation"
,Ferric Sulfate Hydrate,VWR Life Sciences,412D,7,1,500.0,g,15244-10-7,"Corrosive to metals, acute oral toxicity, skin corrosion/irritation, serious eye damage/irritation"
,Magnesium Sulfate,Flinn Scientific Inc,412D,7,1,500.0,g,7487-88-9,
,Magnesium Sulfate Heptahydrate,Glass bottle,412D,7,1,150.0,g,10034-99-8,
,Potassium Sulfate,Glass bottle,412D,7,2,100.0,g,7778-80-5,
,Potassium Sulfate,Carolina,412D,7,1,250.0,g,7778-80-5,
,Sodium Bisulfate,Scholar Chemistry,412D,7,1,400.0,g,7681-38-1,Causes serious eye damage
,Sodium Sulfate,Glass bottle,412D,7,2,100.0,g,7757-82-6,May be harmful in contact with skin
,Sodium Sulfide,Spectrum,412D,7,1,200.0,g,1313-82-2,"May form combustible dust concentrations in air, may be corrosive to metals, causes severe skin burns and eye damage, toxic if swallowed or in contact with skin"
,Sodium Sulfide Nonahydrate,Sigma-Aldrich,412D,7,1,100.0,g,1313-84-4,"Causes severe skin burns and eye damage, toxic in contact with skin, harmful if swallowed, very toxic to aquatic life with long lasting effects"
,Sodium Sulfite,Glass bottle,412D,7,1,50.0,g,7757-83-7,"Skin irritation, serious eye damage"
,Aluminum Chloride,Glass bottle,412D,8,1,5.0,g,7446-70-0,"Causes severe skin burns and eye damage, may cause respiratory irritation"
,Aluminum Chloride,Flinn Scientific Inc,412D,8,1,200.0,g,7446-70-0,"Causes severe skin burns and eye damage, may cause respiratory irritation"
,Aluminum Chloride,Sigma-Aldrich,412D,8,1,500.0,g,7446-70-0,"Causes severe skin burns and eye damage, may cause respiratory irritation"
,Aluminum Chloride,Acros Organics,412D,8,1,400.0,g,7446-70-0,"Causes severe skin burns and eye damage, may cause respiratory irritation"
,Ammonium Chloride,Glass bottle,412D,8,2,6.0,g,12125-02-9,"Harmful if swallowed, causes serious eye irritation"
,Ammonium Chloride,Carolina,412D,8,1,200.0,g,12125-02-9,"Harmful if swallowed, causes serious eye irritation"
,Barium Chloride Anhydrous,Scholar Chemistry,412D,8,1,400.0,g,10361-37-2,"Acute oral toxicity, acute inhalation toxicity "
,Barium Chloride Dihydrate,Glass bottle,412D,8,1,4.0,g,10326-27-9,"Toxic if swallowed, harmful if inhaled"
,Barium Chloride Dihydrate,Scholar Chemistry,412D,8,1,150.0,g,10326-27-9,"Toxic if swallowed, harmful if inhaled"
,Calcium Chloride,Glass bottle,412D,8,7,150.0,g,10043-52-4,"May form combustible dust concentrations in air, causes serious eye irritation"
,Calcium Chloride Anhydrous,Sigma-Aldrich,412D,8,2,350.0,g,10043-52-4,"May form combustible dust concentrations in air, causes serious eye irritation"
,Calcium Chloride Anhydrous,Spectrum,412D,8,1,400.0,g,10035-04-8,Causes serious eye irriration
,Calcium Chloride Dihydrate,Sigma-Aldrich,412D,8,1,400.0,g,10035-04-8,Causes serious eye irriration
,Cobalt Chloride Hexahydrate,Glass bottle,412D,8,2,6.0,g,7791-13-1,"Acute oral toxicity, acute inhalation toxicity, respiratory sensitization, skin sensitization, germ cell mutagenicity, carcinogenicity, reproductive toxicity"
,Cobalt (II) Chloride Anhydrous,Acros Organics,412D,8,1,500.0,g,7646-79-9,"Causes eye irritation, causes skin irritation, may cause skin sensitization or allergic reaction, harmful if swallowed (causes gastrointestinal tract irritation), causes respiratory tract irritation, may cuase asthmatic attacks, may cause cancer"
,Copper (II) Chloride,Sigma-Aldrich,412D,8,1,500.0,g,7447-39-4,"Causes skin irritation, causes serious eye damage, harmful if swallowed or in contact with skin"
,Cuperic Chloride Dihydrate,Carolina,412D,8,1,300.0,g,10125-13-0,"Acute oral and dermal toxicity, causes skin irritation, serious eye damage, short- and long-term aquatic hazard"
,Iron (III) Chloride,Glass bottle,412D,8,1,20.0,g,7705-08-0,"Corrosive to metals, acute oral toxicity, skin irritant, causes serious eye damage"
,Lithium Chloride Anhydrous,Carolina,412D,8,1,40.0,g,7447-41-8,"Harmful if swallowed, cuases skin irritation, causes serious eye irritation"
,Magnesium Chloride,Flinn Scientific Inc,412D,8,1,250.0,g,7786-30-3,
,Nicaelous Chloride Hexahydrate,JT Baker,412D,8,1,125.0,g,,
,Zinc Chloride,Sigma-Aldrich,412D,8,1,250.0,g,7646-85-7,"Acute oral toxicity, skin corrosion, serious eye damage, specific target organ toxicity (respiratory system), short- and long-term aquatic hazard"
,Potassium Bromate,Flinn Scientific Inc,412D,8,2,60.0,g,7758-012,"May cause fire or explosion; strong oxidizer, toxic if swallowed, suspected of causing cancer, may cause respiratory irritation, may cause drowsiness or dizziness, may cause damage to organs through prolonged or repeated exposure"
,Potassium Bromide,Glass bottle,412D,8,1,100.0,g,7758-023,May cause serious eye irritation
,Potassium Bromide,Scholar Chemistry,412D,8,1,100.0,g,7758-023,May cause serious eye irritation
,Potassium Chloride,Glass bottle,412D,8,3,65.0,g,7447-40-7,
,Potassium Chloride,Alpha Azar,412D,8,1,700.0,g,7447-40-7,
,Sodium Acetate,Scholar Chemistry,412D,8,1,400.0,g,127-09-3,"Causes mild skin irritation, causes eye irritation, may be harmful if inhaled"
,Sodium Acetate,Fisher Chemicals,412D,8,1,200.0,g,127-09-3,"Causes mild skin irritation, causes eye irritation, may be harmful if inhaled"
,Sodium Bromide,Glass bottle,412D,8,11,255.0,g,7647-15-6,
,Sodium Bromide,Scholar Chemistry,412D,8,1,500.0,g,7647-15-6,
,Sodium Chloride,Glass bottle,412D,8,9,500.0,g,7647-14-5,
,Sodium Chloride,Sigma-Aldrich,412D,8,2,625.0,g,7647-14-5,
,Sodium Hypoclorite Solution,Flinn Scientific Inc,412D,8,1,1.0,L,7681-52-9,"Corrosive to metals, skin corrosion, serious eye damage, short- and long-term aquatic hazard"
,"Sodium Sulfite, anhydrous",Acros ,412D,8,1,1.0,kg,7757-83-7,
,Sodium Thiosulfate Pentahydrate,Fisher Chemical,412D,8,1,1.5,kg,10102-17-7,
,Sodium Thiosulfate Pentahydrate,Flinn Scientific,412D,8,1,150.0,g,10102-17-7,
,Sodium Thiosulfate Pentahydrate,Glass bottle,412D,8,1,75.0,g,10102-17-7,
,Strontium Chloride X-Hydrate,Glass bottle,412D,8,1,100.0,g,10476-85-4,"Causes serious eye damage, may cause respiratory irritation"
,Strontium Chloride,Alpha Azar,412D,8,1,400.0,g,10476-85-4,"Causes serious eye damage, may cause respiratory irritation"
,Ammonium Dichromate,Glass bottle,412D,9,4,80.0,g,7789-095,"Specific target organ toxicity following repeated exposure, respiratory sensitization, carcinogenicity, germ cell mutagenicity, reproductive toxicity, skin corrosion, serious eye damage, skin sensitization, acute toxicity, acute and chronic hazards to the aquatic environment, oxidizing solids. acute toxicity"
,Ammonium Dichromate,Sigma-Aldrich,412D,9,5,370.0,g,7789-095,"Specific target organ toxicity following repeated exposure, respiratory sensitization, carcinogenicity, germ cell mutagenicity, reproductive toxicity, skin corrosion, serious eye damage, skin sensitization, acute toxicity, acute and chronic hazards to the aquatic environment, oxidizing solids. acute toxicity"
,Ammonium Dichromate,Flinn Scientific Inc,412D,9,1,400.0,g,7789-095,"Specific target organ toxicity following repeated exposure, respiratory sensitization, carcinogenicity, germ cell mutagenicity, reproductive toxicity, skin corrosion, serious eye damage, skin sensitization, acute toxicity, acute and chronic hazards to the aquatic environment, oxidizing solids. acute toxicity"
,Manganese Dioxide,Flinn Scientific Inc,412D,9,1,500.0,g,1313-13-9,"Acute toxicity (oral, dermal, inhalation)"
,Potassium Dichromate,Carolina,412D,9,1,200.0,g,7778-50-9,"Oxidizing solids, acute toxicity (oral, dermal, inhalation), chronic and acute hazards to the aquatic environment, skin corrosion, serious eye damage, respiratory and skin sensitization, germ cell mutagenicity, carcinogenicity, reproductive toxicity, specific and target organ toxicity (single and repeated exposure; respiratory system, liver, kidney, blood)"
,Potassium Chlorate,EMD,412D,9,1,400.0,g,3811-049,"Strong oxidizer, harmful if swallowed or inhaled, toxic to aquatic life with long lasting effects"
,Potassium Chlorate,Glass bottle,412D,9,6,115.0,g,3811-049,"Strong oxidizer, harmful if swallowed or inhaled, toxic to aquatic life with long lasting effects"
,Potassium Chromate,Carolina,412D,9,1,100.0,g,7789-00-6,"Skin corrosion/irritation, serious eye damage/irritation, skin sensitization, germ cell mutagenicity, carcinogenicity, specific target organ toxicity (single exposure - respiratory system; repeated exposure - kidney, liver, blood)"
,Aluminum Nitrate Nonahydrate,Sigma-Aldrich,412D,10,1,20.0,g,7784-27-2,Causes serious eye damage
,Aluminum Nitrate Nonahydrate,GFS Chemicals,412D,10,1,500.0,g,7784-27-2,Causes serious eye damage
,Ammonium Nitrate,Flinn Scientific Inc,412D,10,1,350.0,g,6484-52-2,"Oxidizer, causes serious eye irritation"
,Ceric Ammonium Nitrate,Fisher Scientific ,412D,10,1,500.0,g,16774-21-3,"Oxidizer, harmful if swallowed, causes severe skin burns and eye damage, may cause respiratory irritation, may cause an allergic skin reaction"
,Barium Nitrate,Sigma-Aldrich,412D,10,1,50.0,g,10022-31-8,"Oxidizer, toxic if swallowed, causes serious eye irritation, harmful if inhaled"
,Calcium Nitrate,Flinn Scientific,412D,10,1,450.0,g,13477-34-4,"Harmful if swallowed, causes serious eye damage"
,Calcium Nitrate,Carolina,412D,10,1,200.0,g,13477-34-4,"Harmful if swallowed, causes serious eye damage"
,Cobalt Nitrate 6-Hydrate,Scholar Chemistry,412D,10,1,500.0,g,10026-22-9,"Oxidizer, harmful if swallowed, suspected of causing genetic defects, may cause cancer, may damage fertility or the unborn child, very toxic to aquatic life with long lasting effects"
,Copper (II) Nitrate Tri-Hydrate,Wards Scientific,412D,10,1,500.0,g,10031-43-3,"Oxidizer, causes severe skin burns and eye damage, may cause respiratory irritation"
,Iron (III) Nitrate Nonahydrate,Sigma Aldrich,412D,10,1,500.0,g,7782-61-8,"Oxidizer, causes skin irritation, causes serious eye irritation, may cause respiratory irritation"
,Lead (II) Nitrate,Scholar Chemistry,412D,10,1,200.0,g,10099-74-8,"Oxidizer, acute toxicity (inhalation, oral), serious eye damage, skin sensitization, carcinogenicity, reproductive toxicity, specific target organ toxicity (repeated exposure - blood, central nervous system, immune system, kidney), acture aquatic hazard"
,Lead (II) Nitrate,Alpha Azar,412D,10,1,100.0,g,10099-74-8,"Oxidizer, acute toxicity (inhalation, oral), serious eye damage, skin sensitization, carcinogenicity, reproductive toxicity, specific target organ toxicity (repeated exposure - blood, central nervous system, immune system, kidney), acture aquatic hazard"
,Nickel Nitrate ,Scholar Chemistry,412D,10,1,150.0,g,13478-00-7,"Oxidizer, acute toxicity (oral and inhalation), skin corrosion or irritation, serious eye damage, reproductive toxicity, specific target organ toxicity"
,Potassium Nitrate,Glass bottle,412D,10,2,80.0,g,7757-79-1,"Oxidizer, causes skin irritation, causes serious eye irritation, may cause respiratory irritation"
,Potassium Nitrate,Sigma Aldrich,412D,10,1,500.0,g,7757-79-1,"Oxidizer, causes skin irritation, causes serious eye irritation, may cause respiratory irritation"
,Potassium Nitrate,Sigma Aldrich,412D,10,1,500.0,g,7757-79-1,"Oxidizer, causes skin irritation, causes serious eye irritation, may cause respiratory irritation"
,Silver Nitrate,Carolina,412D,10,3,30.0,g,7761-88-8,"Causes skin irritation, causes severe skin burns and eye damage, toxic to aquatic life with long lasting effects"
,Sodium Nitrate,Glass bottle,412D,10,3,30.0,g,7631-99-4,"Oxidizer, causes serious eye irritation"
,Sodium Nitrate,Flinn Scientific,412D,10,1,400.0,g,7631-99-4,"Oxidizer, causes serious eye irritation"
,Sodium Nitrite,Glass bottle,412D,10,1,15.0,g,7632-00-0,"Oxidizing solids, acute oral toxicity, eye irritation, acute aquatic hazard"
,Sodium Nitrite,Carolina,412D,10,1,50.0,g,7632-00-0,"Oxidizing solids, acute oral toxicity, eye irritation, acute aquatic hazard"
,Stronium Nitrate,Glass bottle,412D,10,4,40.0,g,10042-76-9,"Strong oxidizer, causes serious eye damage"
,Zinc Nitrate Hexahydrate,Sigma Aldrich,412D,10,3,300.0,g,10196-18-6,"Oxidizing solids, acute toxicity (oral), skin corrosion/irritation, serious eye damage/irritation, respiratory system toxicity (single exposure)"
,Iodine,Glass bottle,412D,12,6,200.0,g,7553-56-2,"Causes skin irritation, causes serious eye irritation, may cause respiratory irritation, causes damage to organs through prolonged or repeated exposure, harmful if swallowed/in contact with skin or if inhaled"
,Iodine,Carolina,412D,12,1,100.0,g,7553-56-2,"Causes skin irritation, causes serious eye irritation, may cause respiratory irritation, causes damage to organs through prolonged or repeated exposure, harmful if swallowed/in contact with skin or if inhaled"
,"Iodine, crystalline",Flinn Scientific,412D,12,1,500.0,g,7553-56-2,"Causes skin irritation, causes serious eye irritation, may cause respiratory irritation, causes damage to organs through prolonged or repeated exposure, harmful if swallowed/in contact with skin or if inhaled"
,Iodine,"Beantown, California",412D,12,1,10.0,g,7553-56-2,"Causes skin irritation, causes serious eye irritation, may cause respiratory irritation, causes damage to organs through prolonged or repeated exposure, harmful if swallowed/in contact with skin or if inhaled"
,Iodine (0.05 M),Carolina,412D,12,1,500.0,mL,7553-56-2,"Causes skin irritation, causes serious eye irritation, may cause respiratory irritation, causes damage to organs through prolonged or repeated exposure, harmful if swallowed/in contact with skin or if inhaled"
,Iodine-Potassium Iodide Solution,Flinn Scientific,412D,12,4,1900.0,mL,,"Causes skin irritation, may cause serious skin reaction, causes serious eye irritation, toxic to aquatic life"
,Iodine-Potassium Iodide,Carolina,412D,12,1,100.0,mL,,"Causes skin irritation, may cause serious skin reaction, causes serious eye irritation, toxic to aquatic life"
,Lugol's Solution,Glass bottle,412D,12,1,50.0,mL,,"Causes skin irritation, may cause serious skin reaction, causes serious eye irritation, toxic to aquatic life"
,Lugol's Solution,Carolina,412D,12,1,500.0,mL, ,"Causes skin irritation, may cause serious skin reaction, causes serious eye irritation, toxic to aquatic life"
,Potassium Iodate,Glass bottle,412D,12,6,210.0,g,7681-11-0,Causes damage to organs (thyroid gland) through prolonged or repeated exposure (if swallowed)
,Potassium Iodide,Supple Co,412D,12,1,500.0,g,7681-11-0,Causes damage to organs (thyroid gland) through prolonged or repeated exposure (if swallowed)
,Potassium Iodide,Sigma Aldrich,412D,12,2,1000.0,g,7681-11-0,Causes damage to organs (thyroid gland) through prolonged or repeated exposure (if swallowed)
,Potassium Permanganate,Glass bottle,412D,12,3,35.0,g,7722-64-7,"Oxidizing solids, acute toxicity (oral, dermal, inhalation), chronic and acute hazards to the aquatic environment, skin corrosion, serious eye damage"
,Potassium Permanganate,Acros ,412D,12,1,300.0,g,7722-64-7,"Oxidizing solids, acute toxicity (oral, dermal, inhalation), chronic and acute hazards to the aquatic environment, skin corrosion, serious eye damage"
,Potassium Permanganate 0.04 M,Glass bottle,412D,12,2,1300.0,mL,7722-64-7,"Oxidizing solids, acute toxicity (oral, dermal, inhalation), chronic and acute hazards to the aquatic environment, skin corrosion, serious eye damage"
,Potassium Permanganate 0.1M,Glass bottle,412D,12,1,80.0,mL,7722-64-7,"Oxidizing solids, acute toxicity (oral, dermal, inhalation), chronic and acute hazards to the aquatic environment, skin corrosion, serious eye damage"
,Potassium Permanganate,Flinn Scientific,412D,12,2,800.0,mL,7722-64-7,"Oxidizing solids, acute toxicity (oral, dermal, inhalation), chronic and acute hazards to the aquatic environment, skin corrosion, serious eye damage"
,Sodium Iodide,BDH,412D,12,1,100.0,g,7681-82-5,"Causes skin irritation, causes serious eye irritation, causes damage to organs through prolonged or repeated exposure"
,Hydogen Peroxide,Flinn Scientific,412D,13,1,200.0,mL,7722-84-1,"Eyes, nose, skin, and throat irritation"
,Hydrogen Peroxide,Sigma Aldrich,412D,13,2,750.0,mL,7722-84-1,"Eyes, nose, skin, and throat irritation"
,3% Hydrogen Peroxide,TopCare Health,412D,13,1,0.75,quarts,7722-84-1,"Eyes, nose, skin, and throat irritation"
,"4-Amino-1-naphthalenesulfonic acid, sodium salt hydrate",Alrich Chemical Company,412D,15,1,500.0,g,84-86-6,"Skin corrosion, serious eye damage"
,Glycine,Scholar Chemistry,412D,15,1,200.0,g,56-40-6,
,Clove Oil,Flinn Scientific,412D,15,1,245.0,mL,8000-34-8,"Causes skin irritation, causes serious eye irritation, may cause an allergic skin reaction, may cause respiratory irritation"
,Methyl Salicylate,Sigma Aldrich,412D,15,1,250.0,mL,119-36-8,"Acute oral toxicity, serious eye damage/irritation, skin sensitization, reproductive toxicity"
,Mineral Oil,JT Baker,412D,15,1,200.0,mL,8042-47-5,
,Mineral Oil,Glass bottle,412D,15,8,350.0,mL,8042-47-5,
,Peppermint Oil,Glass bottle,412D,15,1,15.0,mL,8006-90-4,"Cuases serious eye irritation, may cause allergic skin reaction, combustible liquid"
,Peppermint Oil,Flinn Scientific,412D,15,2,15.0,mL,8006-90-4,"Cuases serious eye irritation, may cause allergic skin reaction, combustible liquid"
,Silicone Oil,Acros Organic,412D,15,1,30.0,mL,63148-62-9,"Extremely flammable aerosol, may cause drowsiness or dizziness, toxic to aquatic life with long lasting effects"
,Aluminum,Glass bottle,412D,16,1,25.0,g,7429-90-5,Not classified
,"Ammonium Metavanadate, ACS Reagent",Acros Organics,412D,16,1,25.0,g,7803-55-6,"Suspect of damaging the unborn child, toxic if swallowed, causes serious eye irritation, harmful if inhaled, causes damage to organs through prolonged or repeated exposure"
,Anthranilic Acid,Sigma Aldrich,412D,16,1,500.0,g,118-92-3,Serious eye irritant
,Benedict's Solution Qualitative,Carolina,412D,16,2,2000.0,mL,,
,Boric Acid,Alpha Azar,412D,16,1,1.0,kg,10043-35-3,"May damage fertility, may damage the unborn child"
,Congo Red,Sargent Welch ,412D,16,1,0.5,g,573-58-0,"May cause cancer, suspected of damaging the unborn child"
,"D(-)-Aspartic Acid, D(-)-Asparaginsaure",Acros Organics,412D,16,1,2.5,g,1783-96-6,
,DL-Alanine,Acros Organics,412D,16,1,50.0,g,302-72-7,
,DL-Leucine,Acros Organics,412D,16,1,10.0,g,328-39-2,
,DL-Phenylalanine,Acros Organics,412D,16,1,10.0,g,150-30-1,Not classified
,DL-Valine,Acros Organics,412D,16,1,25.0,g,203784-63-8,
,(+)-Gibberellic Acid,Flinn Scientific,412D,16,1,10.0,g,77-06-5,Not classified
,Gelatin,Aldrich Chemical Company,412D,16,1,500.0,g,9000-70-8,
,Glycerol,Glass Bottle,412D,16,9,1100.0,mL,56-81-5,
,Guaiacol,Sigma Aldrich,412D,16,1,100.0,g,90-05-1,"Flammable, acute oral toxicity, skin corrosion/irritation, serious eye damage/eye irritation"
,L(+)-Ascorbic Acid,Wards Scientific,412D,16,1,1.0,g,50-81-7,
,Lime Water Tablets,Flinn Scientific,412D,16,1,10.0,g,,
,Polyvinyl Alcohol Solution,Scholar Chemistry,412D,16,1,700.0,mL,9002-89-5,
,Salicylic Acid,Glass Bottle,412D,16,1,50.0,g,69-72-7,"Acute oral toxicity, serious eye damage, reproductive toxicity"
,Silicon Dioxide (Sand),Glass Bottle,412D,16,1,250.0,g,7631-86-9,
,Tween 20,Sigma Life Science,412D,16,1,700.0,mL,9005-64-5,
,Potassium Ferrocyanide,Carolina,412D,16,1,400.0,g,14459-95-1,Harmful to aquatic life with long lasting effects
,Potassium Thiocyanate,Scholar Chemistry,412D,16,1,400.0,g,333-20-0,"Acute toxicity (oral, inhalation, dermal), serious eye damage, short- and long-term aquatic hazard"
