,Chemical,Company,Room,Shelf,Amount of Jars/Containers,Amount,Unit,CAS #s,Hazard
,1-Octyne,Aldrich,412,412C,1,100.0,g,629-05-0,Flammable,
,1-Propanol,Droplet bottle,412,412C,2,1.0,g,71-23-8,Flammable,
,100 x TE ,glass bottle ,534,cs-3-2,1,75.0,ml,,nonhazardous,
X,10x tris/glycine/SDS buffer,biorad,534,cs-3-2,1,1.0,L,151 21 3,nonhazardous,
,1x gel running buffer,plastic bottle ,534,lab benches,1,1.0,L,,,
,1x SDS buffer ,glass bottle ,534,cs-3-2,1,900.0,ml,,nonhazardous,
,1X TAE buffer ,glass bottle ,534,cs-3-2,1,350.0,g,,irritant,
,1x TE buffer ,glass bottle ,534,cs-3-2,1,50.0,ml,,nonhazardous,
X,2-(3-chlorophenoxy) propionic acid 98%,sigma aldrich ,534,cd-2,1,50.0,g,101-10-0,irritant,
,2-6 Dichloroindophenol Sodium Salt,Flinn Scientific,412D,Organics,1,2.0,g,620-45-1,Combustible dust,
,2-Butanone,Beantown Chemical,412,412C,1,4.0,L,78-93-3,Flammable,
,2-Butanone,Glass jar,412,412C,3,1.0,g,78-93-3,Flammable,
,2-chloro-2-methylpropane,EMD Millipore Corporation,412,412C,1,1.0,L,507-20-0,Flammable,
,2-chlorobutane 99%,ACROS,412,412C,1,250.0,ml,78-86-4,Flammable,
,2-Ethoxyethanol,TCI,412,412C,1,500.0,ml,110-80-5,Flammable,
,2-Ethoxyethanol,Empty Glass jar,412,412C,1,1.0,g,110-80-5,Flammable,
,2-Hexanone,ACROS,412,412C,1,100.0,ml,591-78-6,Flammable,
,2-Hexanone,Glass jar,412,412C,1,1.0,g,591-78-6,Flammable,
,2-Iodobutane,TCI,412,412C,2,25.0,g,513-48-4,Flammable,
,2-Naphthol,Aldrich,412D,Organics,1,5.0,g,135-19-3,Acute oral and inhalation toxicity, serious eye damage, skin sensitization, acute aquatic hazard,
,2-Nitrophenol,Acros Organics,412D,Organics,1,25.0,g,88-75-5,Acute oral toxicity, skin corrosion/irritation, serious eye damage/eye irritation, specific target organ toxicity (single exposure: respiratory tract),
,2-Nitrophenol,Glass bottle,412D,Organics,2,25.0,g,88-75-5,Acute oral toxicity, skin corrosion/irritation, serious eye damage/eye irritation, specific target organ toxicity (single exposure: respiratory tract),
,2-Pentanone,TCI,412,412C,1,500.0,ml,107-87-9,Flammable,
,2-Propanol,Fisher Scientific,412,412C,1,4.0,L,67-63-0,Flammable,
,2-Propanol,Droplet bottle,412,412C,1,1.0,g,67-63-0,Flammable,
,2-Propanol 70%,Carolina,412,412C,1,3.8,L,67-63-0,Flammable,
X,2-propanol 70%,Carolina ,534,BA2,3,12.0,L,n/a ,Flammable, irritant,
,3% Hydrogen Peroxide,TopCare Health,412D,13,1,0.75,g,7722-84-1,Eyes, nose, skin, and throat irritation,
,3% hydrogen peroxide,glass jar ,534,C-2,1,1.0,g,772-84-1,aquatic hazard,
,3% hydrogen peroxide ,plastic dropper,534,fridge 1,1,1.0,g,772-84-1,aquatic hazard,
,35% isopropyl alcohol ,glass bottle ,534,BA1,1,50.0,ml,67-63-0,flammable, health hazard,
,3M silver nitrate ,glass droppers ,534,cs-3-2,4,1.0,g,glass dropper,health,
,4-Acetamidobenzenesulfonamide,TCL,412D,Carboxylic Acids,1,20.0,g,121-61-9,Acute toxicity (oral, dermal, inhalation), skin and eye irritant, specific target organ toxicity (single exposure),
,4-Acetamidophenol,Aldrich,412D,Organics,1,70.0,g,103-90-2,Acute oral toxicity,
,4-Acetamidophenol,Glass bottle,412D,Organics,2,5.0,g,103-90-2,Acute oral toxicity,
,4-Amino-1-naphthalenesulfonic acid, sodium salt hydrate,Alrich Chemical Company,412D,15,1.0,g,g,84-86-6,Skin corrosion, serious eye damage,
,4-Hydroxylacetophenone,Sigma Aldrich,412D,Organics,1,100.0,g,99-93-4,Eye irritant, short- and long-term aquatic hazard,
,4-methyl-2-pentanone,Alfa Aesar,412,412C,1,500.0,ml,108-10-0,Flammable,
,4-methyl-2-pentanone,Glass jar,412,412C,2,1.0,g,108-10-1,Flammable,
,50x TAE buffer,glass bottle ,534,cs-3-2,1,100.0,ml,,irritant, aquatic hazards,
,8M urea,glass bottle ,534,cs-3-2,2,1.0,g,57 13 6,nonhazardous,
,9-Fluorenol,Alfa Aesar,412D,Organics,1,20.0,g,1689-64-1,,
,9-Fluorenone,Alfa Aesar,412D,Organics,1,50.0,g,486-25-9,Serious eye damage/eye irritation,,
,Acetamide,Glass bottle,412D,Organics,3,50.0,g,60-35-5,Suspect of causing cancer,
,Acetanilide,Flinn Scientific,412D,Organics,1,30.0,g,103-84-4,Acute oral toxicity, acute aquatic hazard,
,Acetanilide,Sigma Aldrich,412 D,Organics,1,500.0,g,103-84-4,Acute oral toxicity, acute aquatic hazard,
,Acetanilide,Acros Organics,412D,Carboxylic Acids,1,200.0,g,103-84-4,Acute oral toxicity, acute aquatic hazard,
,Acetanilide Reference,Glass bottle,412D,Organics,1,15.0,g,103-84-4,Acute oral toxicity, acute aquatic hazard,
,Acetic Anhydride,,412,412C,10,1.0,ml,108-24-7,Flammable,
,Acetic Anhydride,Alfa Aesar,412,412C,1,500.0,ml,108-24-7,Flammable,
,Acetoacetanilide,Aldrich,412D,Carboxylic Acids,1,300.0,g,102-01-2,,
,Acetone,Glass jar,412,412C,1,1.0,g,67-64-1,Flammable,
,Acetone,Droplet bottle,412,412C,4,1.0,g,67-64-1,Flammable,
,Acetone,Flinn Scientific,412,412C,1,4.0,L,67-64-1,Flammable,
X,acetone,American bio ,534,BA1,1,1.0,L,67-64-1,Flammable, irritant,
X,acetone ,Flinn,534,BA2,1,4.0,L,67-64-1,Flammable, Irritant,
X,acetonitrile ,fisher ,534,BA1,1,1.0,L,75 05 9,flammable, health hazard,
,Acetylsalicylic Acid,Flinn Scientific,412D,Carboxylic Acids,1,100.0,g,50-78-2,Acute oral toxicity,
,Acetylsalicylic Acid,Glass bottle,412D,Carboxylic Acids,3,3.0,g,50-78-2,Acute oral toxicity,
X,acridine orange ,fisher ,534,C-2,6,60.0,g,10127-02-3,toxic, health,
,Acrylamide,Sigma Aldrich,412D,Organics,1,25.0,g,79-06-1,Acute oral, dermal, and inhalation toxicity, skin and eye irritation, skin sensitization, germ cell mutagenicity, carcinogenicity, reproductive toxicity,
,Acrylamide,Glass bottle,412D,Organics,1,5.0,g,79-06-1,Acute oral, dermal, and inhalation toxicity, skin and eye irritation, skin sensitization, germ cell mutagenicity, carcinogenicity, reproductive toxicity,
X,actinomycete isolation agar ,Fluka ,534,C1,1,500.0,g,137-40-6,eye irritant,
X,activated carbon ,sigma aldrich ,534,C-2,1,250.0,g,7440-44-00,nonhazardous,
,Activated Charcoal,Glass bottle,412D,5,5,100.0,g,7440-44-0,,
,acumedia yeast extract ,,534,C1,1,300.0,g,8013 01 2,,
X,adenine hemisulfate salt ,sigma-aldrich ,534,cd-1,1,5.0,g,321-30-2,toxic, irritant,
,adsorber resin amberlite ,em science ,534,cd-1,9,900.0,g,,nonhazardous,
,adult bovine defibrinated blood ,Carolina ,534,fridge 1,1,100.0,ml,,,
X,agar granulated ,fisher ,534,C1,1,500.0,g,9002-18-0,nonhazardous,
,Agarose,Bio-Rad Laboratories,412D,2,1,150.0,g,9012-36-6,Skin and eye irritant,
X,agarose,Carolina ,534,cd-1,6,150.0,g,9012-36-6,nonhazardous,
X,agarose ,sigma aldrich ,534,C1,1,100.0,g,9012-36-6,nonhazardous,
X,agarose gpg/le,american bio analytical,534,C1,1,50.0,g,9012-36-6,nonhazardous,
X,agarose high resolution ,sigma aldrich ,534,cd-1,1,100.0,g,9012-36-6,nonhazardous,
,Albumin,Ward's Science,412D,2,1,375.0,g,9006-59-1,,
X,albumin ,tns education ,534,cd-1,3,1.0,g,9006-59-1,nonhazardous,
X,alcohol denatured ,american bio analytical ,534,BA2,1,4.0,L,64-17-5,Flammable, toxic,
X,alkaline pH indicator ,Carolina ,534,cs-3-2,6,1.0,g,,irritant,
,Allyl Bromide,Sigma Aldrich,412D,Fridge,2,200.0,g,106-95-6,Flammable, acute oral and inhalation toxicity, skin corrosion, serious eye damage, germ cell mutagenicity, carcinocenicity, acute aquatic hazard,
,Aluminum,Glass bottle,412D,16,1,25.0,g,7429-90-5,Not classified,
,Aluminum Chloride,Glass bottle,412D,8,1,5.0,g,7446-70-0,Causes severe skin burns and eye damage, may cause respiratory irritation,
,Aluminum Chloride,Flinn Scientific Inc,412D,8,1,200.0,g,7446-70-0,Causes severe skin burns and eye damage, may cause respiratory irritation,
,Aluminum Chloride,Sigma-Aldrich,412D,8,1,500.0,g,7446-70-0,Causes severe skin burns and eye damage, may cause respiratory irritation,
,Aluminum Chloride,Acros Organics,412D,8,1,400.0,g,7446-70-0,Causes severe skin burns and eye damage, may cause respiratory irritation,
,Aluminum Nitrate Nonahydrate,Sigma-Aldrich,412D,10,1,20.0,g,7784-27-2,Causes serious eye damage,
,Aluminum Nitrate Nonahydrate,GFS Chemicals,412D,10,1,500.0,g,7784-27-2,Causes serious eye damage,
X,aluminum potassium sulfate crystal ,wards ,534,cg-1,1,50.0,g,7784-24-9,health, acute toxic,
X,aluminum potassium sulfate dodecahydrate,sigma aldrich ,534,cg-1,1,100.0,g,7784-24-9,nonhazardous,
,Ammonium Carbonate,Sigma-Aldrich,412D,4,1,50.0,g,506-87-6,Skin and eye damage, corrosion, or irritation (Category 2, 2B),
,Ammonium Chloride,Glass bottle,412D,8,2,6.0,g,12125-02-9,Harmful if swallowed, causes serious eye irritation,
,Ammonium Chloride,Carolina,412D,8,1,200.0,g,12125-02-9,Harmful if swallowed, causes serious eye irritation,
X,ammonium chloride,sargent welch ,534,cg-2,1,500.0,g,121-25-02-9,health,
,Ammonium Dichromate,Glass bottle,412D,9,4,80.0,g,7789-095,Specific target organ toxicity following repeated exposure, respiratory sensitization, carcinogenicity, germ cell mutagenicity, reproductive toxicity, skin corrosion, serious eye damage, skin sensitization, acute toxicity, acute and chronic hazards to the aquatic environment, oxidizing solids. acute toxicity,
,Ammonium Dichromate,Sigma-Aldrich,412D,9,5,370.0,g,7789-095,Specific target organ toxicity following repeated exposure, respiratory sensitization, carcinogenicity, germ cell mutagenicity, reproductive toxicity, skin corrosion, serious eye damage, skin sensitization, acute toxicity, acute and chronic hazards to the aquatic environment, oxidizing solids. acute toxicity,
,Ammonium Dichromate,Flinn Scientific Inc,412D,9,1,400.0,g,7789-095,Specific target organ toxicity following repeated exposure, respiratory sensitization, carcinogenicity, germ cell mutagenicity, reproductive toxicity, skin corrosion, serious eye damage, skin sensitization, acute toxicity, acute and chronic hazards to the aquatic environment, oxidizing solids. acute toxicity,
,Ammonium Metavanadate, ACS Reagent,Acros Organics,412D,16,1.0,g,g,7803-55-6,Suspect of damaging the unborn child, toxic if swallowed, causes serious eye irritation, harmful if inhaled, causes damage to organs through prolonged or repeated exposure,
,Ammonium Nitrate,Flinn Scientific Inc,412D,10,1,350.0,g,6484-52-2,Oxidizer, causes serious eye irritation,
,Ammonium Phosphate Dibasic,Scholar Chemistry,412D,3,1,450.0,g,77893-28-0,Skin and eye irritant,
,Ammonium Sulfate,Sigma-Aldrich,412D,7,1,500.0,g,7783-20-2,Short-term aquatic hazard,
X,ampicillin,sigma aldrich ,534,fridge 4,1,25.0,g,69-53-4,health,
,Aniline,ScholAR Chemistry,412,412C,1,500.0,ml,62-53-3,Flammable,
,Anthracene,J.T. Baker,412D,Organics,1,30.0,g,120-12-7,Eye irritation, acute and chronic aquatic hazard,
,Anthracene,Acros Organics,412D,Organics,1,20.0,g,120-12-7,Eye irritation, acute and chronic aquatic hazard,
,Anthracene,Glass bottle,412D,Organics,1,10.0,g,120-12-7,Eye irritation, acute and chronic aquatic hazard,
,Anthranilic Acid,Sigma Aldrich,412D,16,1,500.0,g,118-92-3,Serious eye irritant,
X,antibiotic medium 12 ,becton dickinson ,534,C1,1,500.0,g,,irritant,
X,antibiotic medium 19 ,becton dickinson ,534,C1,1,500.0,g,,irritant,
X,antibiotic medium 5,becton dickinson ,534,C1,1,500.0,g,,nonhazardous,,
X,antibiotic medium 8,becton dickinson ,534,C1,1,500.0,g,,nonhazardous,
X,antibiotic medium 9,becton dickinson ,534,C1,1,500.0,g,,irritant,
,Aspirin Powder,J.T. Baker,412D,Organics,1,75.0,g,50-78-2,Acute toxicity (oral),
,Aspirin Powder,Glass bottle,412D,Organics,1,5.0,g,50-78-2,Acute toxicity (oral),
,Aurintricarboxylic Acid,Sargent Welch,412D,Organics,1,15.0,g,4431-00-9,Skin irritant,
,Barium Chloride Anhydrous,Scholar Chemistry,412D,8,1,400.0,g,10361-37-2,Acute oral toxicity, acute inhalation toxicity,
,Barium Chloride Dihydrate,Glass bottle,412D,8,1,4.0,g,10326-27-9,Toxic if swallowed, harmful if inhaled,
,Barium Chloride Dihydrate,Scholar Chemistry,412D,8,1,150.0,g,10326-27-9,Toxic if swallowed, harmful if inhaled,
,Barium Nitrate,Sigma-Aldrich,412D,10,1,50.0,g,10022-31-8,Oxidizer, toxic if swallowed, causes serious eye irritation, harmful if inhaled,
,Barium Sulfate,Glass bottle,412D,7,1,75.0,g,7727-43-7,,
,Barium Sulfate,Carolina,412D,7,1,300.0,g,7727-43-7,,
,benedict,droppers ,534,C-2,4,1.0,g,63126-89-6,eye irritant, aquatic toxin,
,Benedict's Solution Qualitative,Carolina,412D,16,2,2000.0,mL,,,
,Benzaldehyde,Sigma-Aldrich,412,412C,1,1.0,kg,100-52-7,Flammable,
,Benzamide,Sigma Aldrich,412D,Organics,2,255.0,g,55-21-0,Acute oral toxicity, germ cell mutagenicity,
X,benzamidine hcl,fisher biotech,534,cd-2,1,25.0,g,1670-14-0,irritant,
,Benzoic Acid,Flinn Scientific,412D,Carboxylic Acids,2,400.0,g,65-85-0,Skin irritant, serious eye damage, specific target organ toxicity (repeated exposure: inhalation, lungs), short-term aquatic hazard,
,Benzoic Acid,Glass bottle,412D,Carboxylic Acids,2,75.0,g,65-85-0,Skin irritant, serious eye damage, specific target organ toxicity (repeated exposure: inhalation, lungs), short-term aquatic hazard,
,Benzophenone,Glass bottle,412D,Organics,1,5.0,g,119-61-9,Carcinogen, specific target organ toxicity (repeated exposure: oral, liver, kidney), short- and long-term aquatic hazard,
,Benzophenone,Acros Organics,412D,Carboxylic Acids,1,300.0,g,119-61-9,Carcinogen, specific target organ toxicity (repeated exposure: oral, liver, kidney), short- and long-term aquatic hazard,
,Benzopinacol,Alfa Aesar,412D,Organics,1,10.0,g,464-72-2,,
,Benzopinacol,Acros Organics,412D,Organics,1,80.0,g,464-72-2,,
,Benzopinacolone,Alfa Aesar,412D,Organics,3,30.0,g,466-37-5,,
,Biphenyl,Acros Organics,412D,Organics,1,100.0,g,92-52-4,Skin and eye irritant, specific targen organ toxicity (single exposure: respiratory system), short- and long-term aquatic hazard,
,Biphenyl,Glass bottle,412D,Organics,1,5.0,g,92-52-4,Skin and eye irritant, specific targen organ toxicity (single exposure: respiratory system), short- and long-term aquatic hazard,
,biuret,droppers ,534,C-2,2,1.0,g,108-19-0,irritant,
,black ink,dick blick,534,DA2,1,500.0,ml,,,
,bleach,glass bottle ,534,C-2,1,90.0,ml,7681-52-9,corrosive, irritant,
X,blue final DNA stain ,Carolina ,534,CU-0,1,250.0,g,531-55-5,nonhazardous,
X,blue gel and buffer stain ,Carolina ,534,CU-0,1,7.0,ml,531-55-5,nonhazardous,
,Boric Acid,Alpha Azar,412D,16,1,1.0,kg,10043-35-3,May damage fertility, may damage the unborn child,
X,boric acid 99%,sigma aldrich ,534,cd-2,1,1.0,kg,10043-35-3,health,
X,boric acid ultra-pure ,american bio analytical ,534,cd-2,1,1.0,kg,10043-35-3,,
X,brain heart infusion,Carolina ,534,C1,1,400.0,g,,irritant,
X,brain heart infusion agar ,vwr,534,C1,1,52.0,g,,irritant,
X,brilliant blue r,sigma aldrich ,534,C-2,1,50.0,g,6104-59-2,nonhazardous,
X,bromocresol green sodium salt ,sigma aldrich ,534,C-2,1,25.0,g,62625-32-5,nonhazardous,
,Bromoethane,Alfa Aesar,412,412C,1,100.0,g,74-96-4,Flammable,
,Bromophenol Blue,Fisher Scientific,412D,17,2,7.0,g,115-39-9,,
,bromophenol blue,plastic droppers ,534,cs-3-2,2,1.0,g,62625-28-9,nonhazardous,
X,bromophenol blue sodium salt ,sigma aldrich ,534,C-2,1,25.0,g,62625-28-9,nonhazardous,
X,bromophenol blue sodium salt ,american bio analytical ,534,C-2,1,1.0,g,62625-28-9,nonhazardous,
,Bromothymol Blue,Carolina,412D,17,1,2.0,g,34722-90-2,,
X,buffer solution ph10,fisher ,534,C1,1,500.0,ml,,reproductive tox,
X,buffer solution ph4,fisher ,534,C1,1,500.0,ml,50-00-0, 67-56-1, 877-24-7, 7732-18-5, 16423-68-0,nonhazardous,
X,buffer solution ph7,fisher ,534,C1,1,500.0,ml,,nonhazardous,
,Butane ,Lucienne,412,412C,19,100.0,ml,106-97-8,Flammable,
,butanol ,aldrich ,534,BA1,1,1.0,L,,,
,Butyraldehyde,Glass jar,412,412C,1,1.0,g,123-72-8 ,Flammable,
,Butyraldehyde,Glass jar,412,412C,1,1.0,g,123-72-8,Flammable,
,Butyric Acid,,412,412C,5,1.0,ml,107-92-6,Flammable,
,Butyric Acid,Aldrich,412,412C,1,500.0,ml,107-92-6,Flammable,
,c45209 microbio suspension,Carolina ,534,fridge 1,2,40.0,ml,,,
,Caffeine,Scholar Chemistry,412D,Organics,1,40.0,g,58-08-2,Acute oral toxicity, acute aquatic hazard,
,Caffeine,Glass bottle,412D,Organics,2,5.0,g,58-08-2,Acute oral toxicity, acute aquatic hazard,
,Calcium Carbonate,Flinn Scientific Inc,412D,4,1,1.5,kg,471-34-1,Body tissue irritant,
,Calcium Carbonate,Carolina,412D,4,1,5.0,g,471-34-1,Body tissue irritant,
,Calcium Carbonate,Glass bottle,412D,4,12,150.0,g,471-34-1,Body tissue irritant,
,Calcium Carbonate-Ammonium Chloride Mixture,Glass bottle,412D,4,1,10.0,g,-,Body tissue irritant,
,Calcium Carbonate-Copper Sulfate Mixture,Glass bottle,412D,4,2,20.0,g,-,Body tissue irritant,
,Calcium Chloride,Glass bottle,412D,8,7,150.0,g,10043-52-4,May form combustible dust concentrations in air, causes serious eye irritation,
,calcium chloride,glass bottle ,534,cg-2,1,100.0,g,,,
,Calcium Chloride Anhydrous,Sigma-Aldrich,412D,8,2,350.0,g,10043-52-4,May form combustible dust concentrations in air, causes serious eye irritation,
,Calcium Chloride Anhydrous,Spectrum,412D,8,1,400.0,g,10035-04-8,Causes serious eye irriration,
X,calcium chloride anhydrous ,Mallinckrodt,534,cg-2,1,200.0,g,10043-52-4,health, reactive,
,Calcium Chloride Dihydrate,Sigma-Aldrich,412D,8,1,400.0,g,10035-04-8,Causes serious eye irriration,
,Calcium Hydroxide,Glass bottle,412D,6,3,75.0,g,1305-62-0,Skin irritation, serious eye damage, specific target organ toxicity (single exposure: respiratory system), acute aquatic hazard,
,Calcium Nitrate,Flinn Scientific,412D,10,1,450.0,g,13477-34-4,Harmful if swallowed, causes serious eye damage,
,Calcium Nitrate,Carolina,412D,10,1,200.0,g,13477-34-4,Harmful if swallowed, causes serious eye damage,
,Calcium Oxide,Flinn Scientific Inc,412D,6,1,30.0,g,1305-78-8,Skin corrosion/irritation, eye damage/irritation, respiratory irritation,
,Calcium Oxide,Glass bottle,412D,6,10,50.0,g,1305-78-8,Skin corrosion/irritation, eye damage/irritation, respiratory irritation,
,Calcium Sulfate,Glass bottle,412D,7,3,200.0,g,7778-18-9,,
,Calcium Sulfate Hemihydrate,Carolina,412D,7,1,250.0,g,10034-76-1,,
,Camphor,Aldrich,412,412C,1,500.0,g,76-22-2,Flammable,
,Caraway Oil,Spectrum,412,412C,1,500.0,ml,8000-42-8,Flammable,
,Carmine,Flinn Scientific,412D,17,2,0.5,g,1390-65-4,,
,Catechol,Sigma,412D,Organics,1,20.0,g,120-80-9,Acute oral, dermal, and inhalation toxicity, skin corrosion/irritation, skin sensitization, germ cell mutagenicity, carcinogenicity, combustible dust,
X,catechol,Carolina ,534,cd-3,1,100.0,g,120-80-9,health, flammable, aquatic toxin, toxic,
,Ceric Ammonium Nitrate,Fisher Scientific ,412D,10,1,500.0,g,16774-21-3,Oxidizer, harmful if swallowed, causes severe skin burns and eye damage, may cause respiratory irritation, may cause an allergic skin reaction,
,Cetyl Alcohol,Glass bottle,412D,Organics,1,100.0,g,36653-82-4,,
,charcoal ,plastic bottle,534,C-2,1,1.0,g,7440-44-0,,
,Charcoal/Activated Carbon,Carolina,412D,5,1,350.0,g,7440-44-0,,
,Chloroform,ACROS,412,412C,1,1.0,L,67-66-3,Flammable,
,Chloroform,Fisher Scientific,412,412C,1,1.0,L,67-66-3,Flammable,
,Chloroform,Flinn Scientific,412,412C,1,500.0,ml,67-66-3,Flammable,
X,cholesterol 95% ,sigma aldrich ,534,cd-2,1,50.0,g,57-88-5,nonhazardous,
,chromatography butanol dutic,glass bottle ,534,BA1,1,50.0,ml,n/a ,Flammable,
,Chromatography Solvent,Carolina,412,412C,5,120.0,ml,67-64-1; 8032-32-4,Flammable,
,Chromatography Solvent,Ward's Science,412,412C,24,30.0,ml,67-64-1; 8032-32-4,Flammable,
,Chromatography Solvent,Carolina,412,412C,3,25.0,ml,67-64-1; 8032-32-4,Flammable,
,Chromatography Solvent,Ward's Science,412,412C,3,500.0,ml,67-64-1; 8032-32-4,Flammable,
X,chromatography solvent ,wards,534,BA1,2,1000.0,ml,67-64-1,flammable, irritant, health,
,Chromatography Solvent II,Aldon,412,412C,2,30.0,ml,67-64-1; 8032-32-4,Flammable,
,Cinnamic Acid,Glass bottle,412D,Carboxylic Acids,1,15.0,g,140-10-3,Eye irritant, short-term aquatic hazard,
,Citric Acid,Flinn Scientific,412D,Carboxylic Acids,2,500.0,g,77-92-9,Eye irritant, specific target organ toxicity (single exposure: respiratory system),
,clay soil,bottles ,534,C-2,2,1.0,g,n/a ,health,
,Clove Oil,Flinn Scientific,412D,15,1,245.0,mL,8000-34-8,Causes skin irritation, causes serious eye irritation, may cause an allergic skin reaction, may cause respiratory irritation,
X,cm sephadex c-25,sigma aldrich ,534,cs-3-2,1,50.0,g,62886-59-3,nonhazardous,
,Cobalt (II) Chloride Anhydrous,Acros Organics,412D,8,1,500.0,g,7646-79-9,Causes eye irritation, causes skin irritation, may cause skin sensitization or allergic reaction, harmful if swallowed (causes gastrointestinal tract irritation), causes respiratory tract irritation, may cuase asthmatic attacks, may cause cancer,
,Cobalt Chloride Hexahydrate,Glass bottle,412D,8,2,6.0,g,7791-13-1,Acute oral toxicity, acute inhalation toxicity, respiratory sensitization, skin sensitization, germ cell mutagenicity, carcinogenicity, reproductive toxicity,
X,cobalt ii chloride 6-hydrate ,vwr,534,cg-2,1,100.0,g,7791-13-1,health, corrosive, aquatic toxin,
,Cobalt Nitrate 6-Hydrate,Scholar Chemistry,412D,10,1,500.0,g,10026-22-9,Oxidizer, harmful if swallowed, suspected of causing genetic defects, may cause cancer, may damage fertility or the unborn child, very toxic to aquatic life with long lasting effects,
,cobalt sulfate 7-hydrate,plastic bottle ,534,cg-1,1,1.0,g,10026-24-1,health-toxic,
X,component A buffer for cell resuspension ,edvotek ,534,fridge 1,1,30.0,ml,n/a ,nonhazardous,
,Congo Red,Sargent Welch ,412D,16,1,0.5,g,573-58-0,May cause cancer, suspected of damaging the unborn child,
,Congo Red,Ward's Science,412D,17,1,1.0,g,573-58-0,May cause cancer, suspected of damaging the unborn child,
,Congo Red,Sargent Welch,412D,17,1,0.05,g,573-58-0,May cause cancer, suspected of damaging the unborn child,
X,Congo red-part b,vwr sargent welch ,534,C-2,1,0.5,g,573-58-0,health, flammable, reactive,
X,Coomassie brilliant blue g-250,american bio,534,C-2,1,10.0,g,6104-58-1,nonhazardous,
X,Coomassie brilliant blue r-250,american bio analytical ,534,C-2,1,10.0,g,6104-59-2,nonhazardous,
X,Coomassie brilliant blue r-250,em science ,534,C-2,1,25.0,g,6104-59-2,irritant,
,Copper (II) Carbonate,Glass bottle,412D,4,7,250.0,g,12069-69-1,Skin, digestive system, and respiratory track irritant,
,Copper (II) Chloride,Sigma-Aldrich,412D,8,1,500.0,g,7447-39-4,Causes skin irritation, causes serious eye damage, harmful if swallowed or in contact with skin,
,Copper (II) Nitrate Tri-Hydrate,Wards Scientific,412D,10,1,500.0,g,10031-43-3,Oxidizer, causes severe skin burns and eye damage, may cause respiratory irritation,
,Copper (II) Oxide,Glass bottle,412D,6,6,150.0,g,1317-38-0,Acute oral and inhalation toxicity, skin corrosion/irritation, eye irritation, chronic aquatic hazard,
,Copper (II) Sulfate,Glass bottle,412D,7,2,100.0,g,7758-98-7,Acute oral toxicity, skin corrosion or irritation, can cause serious eye damage or irritation,
,Copper (II) Sulfate,Flinn Scientific Inc,412D,7,1,250.0,g,7758-98-7,Acute oral toxicity, skin corrosion or irritation, can cause serious eye damage or irritation,
,Copper (II) Sulfate Pentahydrate,Sigma-Aldrich,412D,7,1,500.0,g,7758-99-8,Acute oral toxicity, skin corrosion or irritation, can cause serious eye damage or irritation,
X,copper ii sulfate ,scholar ,534,cg-1,1,250.0,g,7758-99-8,health,
,copper sulfate ,plastic bottle ,534,cg-1,1,10.0,g,7758-98-7,health,
X,corn oil ,Carolina ,534,fridge 1,1,40.0,ml,8001-30-7,nonhazardous,
,corn starch ,,534,C1,1,1.0,g,9005-25-8,,
,Coumarin,MP Biomedicals,412D,Organics,1,20.0,g,91-64-5,Acute oral toxicity, skin sensitization, chronic aquatic hazard,
